method,run,route_id,allocation
Random search,16,SYN-009,0
Random search,16,SYN-014,1
Random search,16,SYN-027,1
Random search,16,SYN-034,2
Random search,16,SYN-035,1
Random search,16,SYN-037,0
Random search,16,SYN-044,2
Random search,16,SYN-050,3
Elite-preserving stochastic search,17,SYN-009,0
Elite-preserving stochastic search,17,SYN-014,0
Elite-preserving stochastic search,17,SYN-027,1
Elite-preserving stochastic search,17,SYN-034,1
Elite-preserving stochastic search,17,SYN-035,1
Elite-preserving stochastic search,17,SYN-037,0
Elite-preserving stochastic search,17,SYN-044,4
Elite-preserving stochastic search,17,SYN-050,3
Random search,17,SYN-009,0
Random search,17,SYN-014,0
Random search,17,SYN-027,2
Random search,17,SYN-034,2
Random search,17,SYN-035,0
Random search,17,SYN-037,0
Random search,17,SYN-044,2
Random search,17,SYN-050,4
Elite-preserving stochastic search,18,SYN-009,0
Elite-preserving stochastic search,18,SYN-014,1
Elite-preserving stochastic search,18,SYN-027,1
Elite-preserving stochastic search,18,SYN-034,1
Elite-preserving stochastic search,18,SYN-035,1
Elite-preserving stochastic search,18,SYN-037,0
Elite-preserving stochastic search,18,SYN-044,3
Elite-preserving stochastic search,18,SYN-050,3
Random search,18,SYN-009,0
Random search,18,SYN-014,1
Random search,18,SYN-027,1
Random search,18,SYN-034,1
Random search,18,SYN-035,1
Random search,18,SYN-037,0
Random search,18,SYN-044,3
Random search,18,SYN-050,3
Elite-preserving stochastic search,19,SYN-009,0
Elite-preserving stochastic search,19,SYN-014,1
Elite-preserving stochastic search,19,SYN-027,1
Elite-preserving stochastic search,19,SYN-034,1
Elite-preserving stochastic search,19,SYN-035,0
Elite-preserving stochastic search,19,SYN-037,1
Elite-preserving stochastic search,19,SYN-044,3
Elite-preserving stochastic search,19,SYN-050,3
Random search,19,SYN-009,0
Random search,19,SYN-014,1
Random search,19,SYN-027,1
Random search,19,SYN-034,1
Random search,19,SYN-035,0
Random search,19,SYN-037,1
Random search,19,SYN-044,3
Random search,19,SYN-050,3
Elite-preserving stochastic search,20,SYN-009,0
Elite-preserving stochastic search,20,SYN-014,0
Elite-preserving stochastic search,20,SYN-027,2
Elite-preserving stochastic search,20,SYN-034,2
Elite-preserving stochastic search,20,SYN-035,0
Elite-preserving stochastic search,20,SYN-037,0
Elite-preserving stochastic search,20,SYN-044,3
Elite-preserving stochastic search,20,SYN-050,3
Random search,20,SYN-009,0
Random search,20,SYN-014,0
Random search,20,SYN-027,2
Random search,20,SYN-034,2
Random search,20,SYN-035,0
Random search,20,SYN-037,0
Random search,20,SYN-044,3
Random search,20,SYN-050,3
Elite-preserving stochastic search,21,SYN-009,0
Elite-preserving stochastic search,21,SYN-014,1
Elite-preserving stochastic search,21,SYN-027,2
Elite-preserving stochastic search,21,SYN-034,1
Elite-preserving stochastic search,21,SYN-035,1
Elite-preserving stochastic search,21,SYN-037,0
Elite-preserving stochastic search,21,SYN-044,2
Elite-preserving stochastic search,21,SYN-050,3
Random search,21,SYN-009,0
Random search,21,SYN-014,1
Random search,21,SYN-027,2
Random search,21,SYN-034,1
Random search,21,SYN-035,1
Random search,21,SYN-037,0
Random search,21,SYN-044,2
Random search,21,SYN-050,3
Elite-preserving stochastic search,22,SYN-009,0
Elite-preserving stochastic search,22,SYN-014,1
Elite-preserving stochastic search,22,SYN-027,1
Elite-preserving stochastic search,22,SYN-034,1
Elite-preserving stochastic search,22,SYN-035,0
Elite-preserving stochastic search,22,SYN-037,0
Elite-preserving stochastic search,22,SYN-044,3
Elite-preserving stochastic search,22,SYN-050,4
Random search,22,SYN-009,0
Random search,22,SYN-014,1
Random search,22,SYN-027,1
Random search,22,SYN-034,1
Random search,22,SYN-035,0
Random search,22,SYN-037,0
Random search,22,SYN-044,3
Random search,22,SYN-050,4
Elite-preserving stochastic search,23,SYN-009,0
Elite-preserving stochastic search,23,SYN-014,1
Elite-preserving stochastic search,23,SYN-027,1
Elite-preserving stochastic search,23,SYN-034,1
Elite-preserving stochastic search,23,SYN-035,1
Elite-preserving stochastic search,23,SYN-037,0
Elite-preserving stochastic search,23,SYN-044,3
Elite-preserving stochastic search,23,SYN-050,3
Random search,23,SYN-009,0
Random search,23,SYN-014,1
Random search,23,SYN-027,1
Random search,23,SYN-034,1
Random search,23,SYN-035,1
Random search,23,SYN-037,0
Random search,23,SYN-044,3
Random search,23,SYN-050,3
Elite-preserving stochastic search,24,SYN-009,0
Elite-preserving stochastic search,24,SYN-014,0
Elite-preserving stochastic search,24,SYN-027,1
Elite-preserving stochastic search,24,SYN-034,1
Elite-preserving stochastic search,24,SYN-035,2
Elite-preserving stochastic search,24,SYN-037,0
Elite-preserving stochastic search,24,SYN-044,2
Elite-preserving stochastic search,24,SYN-050,4
Random search,24,SYN-009,0
Random search,24,SYN-014,1
Random search,24,SYN-027,1
Random search,24,SYN-034,1
Random search,24,SYN-035,1
Random search,24,SYN-037,1
Random search,24,SYN-044,2
Random search,24,SYN-050,3
Elite-preserving stochastic search,25,SYN-009,0
Elite-preserving stochastic search,25,SYN-014,2
Elite-preserving stochastic search,25,SYN-027,1
Elite-preserving stochastic search,25,SYN-034,2
Elite-preserving stochastic search,25,SYN-035,0
Elite-preserving stochastic search,25,SYN-037,0
Elite-preserving stochastic search,25,SYN-044,2
Elite-preserving stochastic search,25,SYN-050,3
Random search,25,SYN-009,0
Random search,25,SYN-014,2
Random search,25,SYN-027,1
Random search,25,SYN-034,2
Random search,25,SYN-035,0
Random search,25,SYN-037,0
Random search,25,SYN-044,2
Random search,25,SYN-050,3
Elite-preserving stochastic search,26,SYN-009,0
Elite-preserving stochastic search,26,SYN-014,0
Elite-preserving stochastic search,26,SYN-027,2
Elite-preserving stochastic search,26,SYN-034,1
Elite-preserving stochastic search,26,SYN-035,1
Elite-preserving stochastic search,26,SYN-037,1
Elite-preserving stochastic search,26,SYN-044,2
Elite-preserving stochastic search,26,SYN-050,3
Random search,26,SYN-009,0
Random search,26,SYN-014,0
Random search,26,SYN-027,2
Random search,26,SYN-034,1
Random search,26,SYN-035,1
Random search,26,SYN-037,1
Random search,26,SYN-044,2
Random search,26,SYN-050,3
Elite-preserving stochastic search,27,SYN-009,0
Elite-preserving stochastic search,27,SYN-014,1
Elite-preserving stochastic search,27,SYN-027,2
Elite-preserving stochastic search,27,SYN-034,1
Elite-preserving stochastic search,27,SYN-035,0
Elite-preserving stochastic search,27,SYN-037,0
Elite-preserving stochastic search,27,SYN-044,2
Elite-preserving stochastic search,27,SYN-050,4
Random search,27,SYN-009,0
Random search,27,SYN-014,1
Random search,27,SYN-027,2
Random search,27,SYN-034,1
Random search,27,SYN-035,0
Random search,27,SYN-037,0
Random search,27,SYN-044,2
Random search,27,SYN-050,4
Elite-preserving stochastic search,28,SYN-009,0
Elite-preserving stochastic search,28,SYN-014,1
Elite-preserving stochastic search,28,SYN-027,1
Elite-preserving stochastic search,28,SYN-034,2
Elite-preserving stochastic search,28,SYN-035,0
Elite-preserving stochastic search,28,SYN-037,0
Elite-preserving stochastic search,28,SYN-044,2
Elite-preserving stochastic search,28,SYN-050,4
Random search,28,SYN-009,0
Random search,28,SYN-014,1
Random search,28,SYN-027,1
Random search,28,SYN-034,2
Random search,28,SYN-035,0
Random search,28,SYN-037,0
Random search,28,SYN-044,2
Random search,28,SYN-050,4
Elite-preserving stochastic search,29,SYN-009,0
Elite-preserving stochastic search,29,SYN-014,1
Elite-preserving stochastic search,29,SYN-027,2
Elite-preserving stochastic search,29,SYN-034,1
Elite-preserving stochastic search,29,SYN-035,1
Elite-preserving stochastic search,29,SYN-037,0
Elite-preserving stochastic search,29,SYN-044,2
Elite-preserving stochastic search,29,SYN-050,3
Random search,29,SYN-009,0
Random search,29,SYN-014,1
Random search,29,SYN-027,2
Random search,29,SYN-034,1
Random search,29,SYN-035,1
Random search,29,SYN-037,0
Random search,29,SYN-044,2
Random search,29,SYN-050,3
Elite-preserving stochastic search,30,SYN-009,0
Elite-preserving stochastic search,30,SYN-014,0
Elite-preserving stochastic search,30,SYN-027,1
Elite-preserving stochastic search,30,SYN-034,2
Elite-preserving stochastic search,30,SYN-035,1
Elite-preserving stochastic search,30,SYN-037,1
Elite-preserving stochastic search,30,SYN-044,2
Elite-preserving stochastic search,30,SYN-050,3
Random search,30,SYN-009,0
Random search,30,SYN-014,1
Random search,30,SYN-027,1
Random search,30,SYN-034,1
Random search,30,SYN-035,1
Random search,30,SYN-037,0
Random search,30,SYN-044,3
Random search,30,SYN-050,3
